Site,Lat,Long,Height,Reciver
LPGS,-57.93230556,-33.09325,29.9,JAVAD TRE_3
POTS,13.06608333,52.37930556,144.4,JAVAD TRE_3
SGOC,79.87416667,6.892083333,-77.9,JAVAD TRE_3
SGPO,-97.48483333,36.60419444,290.8,JAVAD TRE_3
SUTM,20.81091667,-31.61855556,1797.6,JAVAD TRE_3
ULAB,107.0523333,47.86505556,1575.5,JAVAD TRE_3
URUM,87.60066667,43.80794444,858.8,JAVAD TRE_3
WIND,17.08944444,-21.42508333,1734.7,JAVAD TRE_3
WUH2,114.3572778,30.53166667,26.2,JAVAD TRE_3
ARHT,166.6636667,-76.17055556,135.8,JAVAD TRE_3 DE
BSHM,35.023,32.779,225.1,JAVAD TRE_3 DE
CRO1,-64.58430556,17.75688889,-32,JAVAD TRE_3 DE
CUSV,100.5339167,13.73591667,76.1,JAVAD TRE_3 DE
GCGO,-147.4994444,64.97805556,319.4,JAVAD TRE_3 DE
GODN,-76.82708333,39.02116667,17.8,JAVAD TRE_3 DE
GUAM,144.8683611,13.58933333,201.9,JAVAD TRE_3 DE
MBAR,30.73788889,0.601472222,1337.7,JAVAD TRE_3 DE
POL2,74.69427778,42.67977778,1714.2,JAVAD TRE_3 DE
QUIN,-120.9444444,39.97455556,1105.8,JAVAD TRE_3 DE
STHL,-5.667333333,-14.05747222,453.2,JAVAD TRE_3 DE
ZAMB,28.31102778,-14.57447222,1324.9,JAVAD TRE_3 DE
AREG,-71.49291667,-15.53458333,2489.4,SEPT POLARX5
DJIG,42.84705556,11.52627778,712.3,SEPT POLARX5
FAA1,-149.6143056,-16.44469444,12,SEPT POLARX5
KIRU,20.96844444,67.85736111,391.1,SEPT POLARX5
KITG,66.88675,39.13338889,623.1,SEPT POLARX5
KOUR,-52.80597222,5.252194444,-25.8,SEPT POLARX5
MAO0,-156.2569722,20.70661111,3061.1,SEPT POLARX5
MAS1,-15.63327778,27.76375,197.1,SEPT POLARX5
NKLG,9.672138889,0.353916667,31.5,SEPT POLARX5
NRMG,166.4848889,-21.77166667,160.8,SEPT POLARX5
NYA2,11.85863889,78.93033333,79.7,SEPT POLARX5
PTGG,121.0412778,14.53538889,87.4,SEPT POLARX5
REDU,5.144888889,50.0015,370.4,SEPT POLARX5
SEYG,55.53063889,-3.321277778,-37.6,SEPT POLARX5
VILL,-3.951972222,40.44358333,647.3,SEPT POLARX5
GANP,20.32294444,49.03472222,746,TRIMBLE ALLOY
KRGG,70.2555,-48.64844444,73,TRIMBLE ALLOY
LMMF,-60.99616667,14.59480556,-27.1,TRIMBLE ALLOY
MAYG,45.25816667,-11.21794444,-13.1,TRIMBLE ALLOY
PARC,-70.87988889,-52.86305556,22.3,TRIMBLE ALLOY
RGDG,-67.75152778,-52.21416667,32.4,TRIMBLE ALLOY
UNB3,-66.64169444,45.95022222,22.8,TRIMBLE ALLOY
YAR2,115.3469722,-28.95344444,241.3,TRIMBLE ALLOY
